Rb.;"Naziv tijela";OIB;Adresa;"Br. pošte";Grad;Telefon;Fax;Www;E-mail;"Ime i prezime službenika";"Tel. službenika";"E-mail. službenika";Osnivač;"Pravni status";Djelatnost;"Zadnja izmjena"
1;"1. MAJ Labin d.o.o.";23557321379;"Vinež 81";52220;Labin;"(+385 52) 855 375";"(+385 52) 856 072";www.prvimaj.hr;info@privimaj.hr;"Ivana Paliska";"(+385 52) 855 375";ivana.zubrinic@prvimaj.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2022-01-28 10:41:11"
2;"3. MAJ STM d.o.o. za poslovanje nekretninama i poslovne usluge Rijeka";29018471609;"Pulska 8/A";51000;Rijeka;"(+385 51) 261 970";"(+385 51) 588 631";www.stm.hr;stm@stm.hr;"Vesna Bek";"(+385 51) 508 301";vesna@stm.hr;"Republika Hrvatska";"Trgovačka društva";Gospodarstvo;"2022-01-11 12:54:34"
3;"6. maj d.o.o.";56396370038;"Tribje 2";52470;Umag;"(+385 52) 741 585";"(+385 52) 741 557";www.6maj.hr;info@6maj.hr;"Anna Vok";"(+385 52) 741 585";anna.vok@6maj.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2016-07-22 08:47:52"
4;"6. maj odvodnja d.o.o.";56838770652;"Tribje 2";52470;Umag;"(+385 52) 741 585; (+385 52) 741 350; (+385 52) 743 397; (+385 52) 742 099";"(+385 52) 741 557";www.6maj-odvodnja.hr;info@6maj-odvodnja.hr;"Tjaša Vagaja";"(+385 52) 741 585";tjasa.vagaja@6maj.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2016-07-22 08:49:03"
5;"Adriatic Croatia International Club d.d.";17195049659;"Rudolfa Strohala 2";51000;Rijeka;"(+385 51) 271 288";"(+385 51) 271 824";www.aci-marinas.com;aci@aci-club.hr;"Ines Bezić";"(+385 99) 6076 927";sluzbenikzainformiranje@aci-club.hr;"Republika Hrvatska";"Trgovačka društva";Turizam;"2021-01-14 08:42:17"
6;"Aerodrom Sopot d.o.o. za prijevoz putnika i robe u zračnom prometu";42515532530;"Bana Josipa Jelačića 1";32100;Vinkovci;"(+385 32) 356 922";"(+385 32) 356 922";;sanja.lozic@vinkovci.hr;"Mario Komšić";"(+385 98) 666 882";sanja.lozic@vinkovci.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Promet i komunikacije";"2021-02-06 10:09:06"
7;"Agencija Alan d.o.o.";83317234406;"Nike Grškovića 15";10000;Zagreb;"(+385 1) 3780 802";"(+385 1) 3780 842";www.aalan.hr;sjelacic@aalan.hr;"Sara Jelačić; Margareta Ćorić";"(+385 1) 3780 819";sjelacic@aalan.hr;"Republika Hrvatska";"Trgovačka društva";Gospodarstvo;"2021-01-07 09:43:24"
8;"Agencija Han Vrana";32843160628;"Vrana Marina 1";23211;Pakoštane;"(+385 99) 2916 095";;www.maskovicahan.hr;info@maskovicahan.hr;"Marko Meštrov";"(+385 99) 2916 095";markomestrov@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;Turizam;"2020-09-23 08:24:37"
9;"Agencija za društveno poticanu stanogradnju Grada Dubrovnika";22015176629;"Pred Dvorom 1";20000;Dubrovnik;"(+385 20) 639 635";"(+385 20) 639 635";www.dubrovnik.hr/APOS;apos@dubrovnik.hr;"Dubravko Pasqallichio";"(+385 98) 531 513";apos@dubrovnik.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Zaštita okoliša i održivi razvoj";"2020-05-12 10:29:42"
10;"Agencija za društveno poticanu stanogradnju Grada Koprivnice - APOS";12626426391;"Zrinski trg 1";48000;Koprivnica;"(+385 48) 279 528";;www.apos-koprivnica.hr;apos@grad.koprivnica.hr;"Klaudija Domijan";"(+385 48) 279 528";klaudija.domijan@grad.koprivnica.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Zaštita okoliša i održivi razvoj";"2020-01-14 09:02:07"
11;"Agencija za društveno poticanu stanogradnju Grada Rijeke";33196059754;"Titov trg 3";51000;Rijeka;"(+385 51) 209 332";;www.apos.hr;apos@rijeka.hr;"Marijana Pavelić";"(+385 51) 209 332";marijana.pavelic@rijeka.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Zaštita okoliša i održivi razvoj";"2022-01-27 13:21:27"
12;"Agencija za elektroničke medije";35237547014;"Jagićeva 31";10000;Zagreb;"(+385 1) 4882 610";"(+385 1) 4882 614";www.aem.hr;info@aem.hr;"Miro Križan";"(+385 1) 4882 617";miro.krizan@aem.hr;"Republika Hrvatska";"Agencije i druge samostalne pravne osobe s javnim ovlastima RH";"Kultura i umjetnost";"2021-08-30 14:34:04"
13;"Agencija za gospodarenje otpadom d.o.o.";10713369361;"Pred Dvorom 1";20000;Dubrovnik;"(+385 20) 358 662";;www.ago-dnz.hr;info@ago-dnz.hr;"Marina Lobrović";"(+385 20) 358 662";info@ago-dnz.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2020-12-22 10:41:01"
14;"Agencija za istraživanje nesreća u zračnom, pomorskom i željezničkom prometu";40956403978;"Lonjička 2";10000;Zagreb;"(+385 1) 8886 830";"(+385 1) 8886 831";www.ain.hr;info@ain.hr;"Tomislav Antun Biber";"(+385 1) 7057 411";tomislav.biber@ain.hr;"Republika Hrvatska";"Agencije i druge samostalne pravne osobe s javnim ovlastima RH";"Promet i komunikacije";"2018-12-04 15:05:04"
15;"Agencija za komercijalnu djelatnost - AKD d.o.o.";58843087891;"Savska cesta 31";10000;Zagreb;"(+385 1) 3657 610";"(+385 1) 4843 523";www.akd.hr;akd@akd.hr;"Irena Leščan; Adrijana Tomašić";"(+385 1) 3657 650";pristupinformacijama@akd.hr;"Republika Hrvatska";"Trgovačka društva";Gospodarstvo;"2022-04-06 10:33:28"
16;"Agencija za lijekove i medicinske proizvode - HALMED";37926884937;"Ksaverska cesta 4";10000;Zagreb;"(+385 1) 4884 100";"(+385 1) 4884 110";www.halmed.hr;halmed@halmed.hr;"Jasminka Tadin";"(+385 1) 4884 103";uredzajavnost@halmed.hr;"Republika Hrvatska";"Agencije i druge samostalne pravne osobe s javnim ovlastima RH";Zdravstvo;"2019-01-30 16:07:16"
17;"Agencija za mobilnost i programe Europske unije - AMPEU";25385906011;"Frankopanska 26";10000;Zagreb;"(+385 1) 5556 498";"(+385 1) 5005 699";www.ampeu.hr;info@ampeu.hr;"Tena Ožvald; Marija Junković";"(+385 1) 5005 956";pristup.informacijama@ampeu.hr;"Republika Hrvatska";"Agencije i druge samostalne pravne osobe s javnim ovlastima RH";"Odgoj, obrazovanje, znanost i sport";"2022-04-08 15:10:28"
18;"Agencija za obalni linijski pomorski promet";27735395987;"Ulica grada Antofagaste 6";21000;Split;"(+385 21) 329 370";"(+385 21) 329 379";www.agencija-zolpp.hr;info@agencija-zolpp.hr;"Ante Bošnjak";"(+385 21) 329 370";ante.bosnjak@agencija-zolpp.hr;"Republika Hrvatska";"Agencije i druge samostalne pravne osobe s javnim ovlastima RH";"Promet i komunikacije";"2021-11-08 15:14:11"
19;"Agencija za obnovu osječke Tvrđe";68467994606;"Franje Kuhača 29";31000;Osijek;"(+385 31) 214 700";"(+385 31) 214 701";www.aoot.hr;agencija@aoot.hr;"Valerija Vuković Kondža";"(+385 31) 214 700";valerija.vukovic.k@aoot.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Zaštita okoliša i održivi razvoj";"2019-01-30 08:43:52"
20;"Agencija za odgoj i obrazovanje";72193628411;"Donje Svetice 38";10000;Zagreb;"(+385 1) 2785 000; (+385 1) 2785 002";"(+385 1) 2785 001";www.azoo.hr;agencija@azoo.hr;"Antonela Nižetić-Capković";"(+385 1) 2785 004";antonela.nizetic-capkovic@azoo.hr;"Republika Hrvatska";"Agencije i druge samostalne pravne osobe s javnim ovlastima RH";"Odgoj, obrazovanje, znanost i sport";
